Company Name,Industry,Symbol,Series,Type,SymbolNS
Adani Ports and Special Economic Zone Ltd.,Services,ADANIPORTS,EQ,N50,ADANIPORTS.NS
Apollo Hospitals Enterprise Ltd.,Healthcare,APOLLOHOSP,EQ,N50,APOLLOHOSP.NS
Asian Paints Ltd.,Consumer Durables,ASIANPAINT,EQ,N50,ASIANPAINT.NS
Axis Bank Ltd.,Financial Services,AXISBANK,EQ,N50,AXISBANK.NS
Bajaj Auto Ltd.,Automobile and Auto Components,BAJAJ-AUTO,EQ,N50,BAJAJ-AUTO.NS
Bajaj Finance Ltd.,Financial Services,BAJFINANCE,EQ,N50,BAJFINANCE.NS
Bajaj Finserv Ltd.,Financial Services,BAJAJFINSV,EQ,N50,BAJAJFINSV.NS
Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,BPCL,EQ,N50,BPCL.NS
Bharti Airtel Ltd.,Telecommunication,BHARTIARTL,EQ,N50,BHARTIARTL.NS
Britannia Industries Ltd.,Fast Moving Consumer Goods,BRITANNIA,EQ,N50,BRITANNIA.NS
Cipla Ltd.,Healthcare,CIPLA,EQ,N50,CIPLA.NS
Coal India Ltd.,Oil Gas & Consumable Fuels,COALINDIA,EQ,N50,COALINDIA.NS
Divi's Laboratories Ltd.,Healthcare,DIVISLAB,EQ,N50,DIVISLAB.NS
Dr. Reddy's Laboratories Ltd.,Healthcare,DRREDDY,EQ,N50,DRREDDY.NS
Eicher Motors Ltd.,Automobile and Auto Components,EICHERMOT,EQ,N50,EICHERMOT.NS
Grasim Industries Ltd.,Construction Materials,GRASIM,EQ,N50,GRASIM.NS
HCL Technologies Ltd.,Information Technology,HCLTECH,EQ,N50,HCLTECH.NS
HDFC Bank Ltd.,Financial Services,HDFCBANK,EQ,N50,HDFCBANK.NS
HDFC Life Insurance Company Ltd.,Financial Services,HDFCLIFE,EQ,N50,HDFCLIFE.NS
Hero MotoCorp Ltd.,Automobile and Auto Components,HEROMOTOCO,EQ,N50,HEROMOTOCO.NS
Hindalco Industries Ltd.,Metals & Mining,HINDALCO,EQ,N50,HINDALCO.NS
Hindustan Unilever Ltd.,Fast Moving Consumer Goods,HINDUNILVR,EQ,N50,HINDUNILVR.NS
Housing Development Finance Corporation Ltd.,Financial Services,HDFC,EQ,N50,HDFC.NS
ICICI Bank Ltd.,Financial Services,ICICIBANK,EQ,N50,ICICIBANK.NS
ITC Ltd.,Fast Moving Consumer Goods,ITC,EQ,N50,ITC.NS
IndusInd Bank Ltd.,Financial Services,INDUSINDBK,EQ,N50,INDUSINDBK.NS
Infosys Ltd.,Information Technology,INFY,EQ,N50,INFY.NS
JSW Steel Ltd.,Metals & Mining,JSWSTEEL,EQ,N50,JSWSTEEL.NS
Kotak Mahindra Bank Ltd.,Financial Services,KOTAKBANK,EQ,N50,KOTAKBANK.NS
Larsen & Toubro Ltd.,Construction,LT,EQ,N50,LT.NS
Mahindra & Mahindra Ltd.,Automobile and Auto Components,M&M,EQ,N50,M&M.NS
Maruti Suzuki India Ltd.,Automobile and Auto Components,MARUTI,EQ,N50,MARUTI.NS
NTPC Ltd.,Power,NTPC,EQ,N50,NTPC.NS
Nestle India Ltd.,Fast Moving Consumer Goods,NESTLEIND,EQ,N50,NESTLEIND.NS
Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels,ONGC,EQ,N50,ONGC.NS
Power Grid Corporation of India Ltd.,Power,POWERGRID,EQ,N50,POWERGRID.NS
Reliance Industries Ltd.,Oil Gas & Consumable Fuels,RELIANCE,EQ,N50,RELIANCE.NS
SBI Life Insurance Company Ltd.,Financial Services,SBILIFE,EQ,N50,SBILIFE.NS
Shree Cement Ltd.,Construction Materials,SHREECEM,EQ,N50,SHREECEM.NS
State Bank of India,Financial Services,SBIN,EQ,N50,SBIN.NS
Sun Pharmaceutical Industries Ltd.,Healthcare,SUNPHARMA,EQ,N50,SUNPHARMA.NS
Tata Consultancy Services Ltd.,Information Technology,TCS,EQ,N50,TCS.NS
Tata Consumer Products Ltd.,Fast Moving Consumer Goods,TATACONSUM,EQ,N50,TATACONSUM.NS
Tata Motors Ltd.,Automobile and Auto Components,TATAMOTORS,EQ,N50,TATAMOTORS.NS
Tata Steel Ltd.,Metals & Mining,TATASTEEL,EQ,N50,TATASTEEL.NS
Tech Mahindra Ltd.,Information Technology,TECHM,EQ,N50,TECHM.NS
Titan Company Ltd.,Consumer Durables,TITAN,EQ,N50,TITAN.NS
UPL Ltd.,Chemicals,UPL,EQ,N50,UPL.NS
UltraTech Cement Ltd.,Construction Materials,ULTRACEMCO,EQ,N50,ULTRACEMCO.NS
Wipro Ltd.,Information Technology,WIPRO,EQ,N50,WIPRO.NS
ACC Ltd.,Construction Materials,ACC,EQ,Next 50,ACC.NS
Adani Enterprises Ltd.,Metals & Mining,ADANIENT,EQ,Next 50,ADANIENT.NS
Adani Green Energy Ltd.,Power,ADANIGREEN,EQ,Next 50,ADANIGREEN.NS
Adani Transmission Ltd.,Power,ADANITRANS,EQ,Next 50,ADANITRANS.NS
Ambuja Cements Ltd.,Construction Materials,AMBUJACEM,EQ,Next 50,AMBUJACEM.NS
Avenue Supermarts Ltd.,Consumer Services,DMART,EQ,Next 50,DMART.NS
Bajaj Holdings & Investment Ltd.,Financial Services,BAJAJHLDNG,EQ,Next 50,BAJAJHLDNG.NS
Bandhan Bank Ltd.,Financial Services,BANDHANBNK,EQ,Next 50,BANDHANBNK.NS
Bank of Baroda,Financial Services,BANKBARODA,EQ,Next 50,BANKBARODA.NS
Berger Paints India Ltd.,Consumer Durables,BERGEPAINT,EQ,Next 50,BERGEPAINT.NS
Biocon Ltd.,Healthcare,BIOCON,EQ,Next 50,BIOCON.NS
Bosch Ltd.,Automobile and Auto Components,BOSCHLTD,EQ,Next 50,BOSCHLTD.NS
Cholamandalam Investment and Finance Company Ltd.,Financial Services,CHOLAFIN,EQ,Next 50,CHOLAFIN.NS
Colgate Palmolive (India) Ltd.,Fast Moving Consumer Goods,COLPAL,EQ,Next 50,COLPAL.NS
DLF Ltd.,Realty,DLF,EQ,Next 50,DLF.NS
Dabur India Ltd.,Fast Moving Consumer Goods,DABUR,EQ,Next 50,DABUR.NS
FSN E-Commerce Ventures Ltd.,Consumer Services,NYKAA,EQ,Next 50,NYKAA.NS
GAIL (India) Ltd.,Oil Gas & Consumable Fuels,GAIL,EQ,Next 50,GAIL.NS
Gland Pharma Ltd.,Healthcare,GLAND,EQ,Next 50,GLAND.NS
